airport_ident,length_ft,width_ft,surface,le_ident,le_latitude_deg,le_longitude_deg,le_elevation_ft,le_heading_degT,le_displaced_threshold_ft,he_ident,he_latitude_deg,he_longitude_deg,he_elevation_ft,he_heading_degT,he_displaced_threshold_ft
CYSU,8000,200,ASP,6,46.4314002990723,-63.8428001403809,48,36,,24,46.4491996765137,-63.8241996765137,33,216,
CYTR,10000,200,ASP,6,44.1088981628418,-77.5421981811523,275,51,1000,24,44.1259918212891,-77.5164413452148,282,231,1000
CYUL,7000,200,ASP,10,45.4625015258789,-73.7649993896484,96,87.5,,28,45.4632987976074,-73.7382965087891,99,267.5,
CYUL,9600,200,ASP,06R,45.4576606750488,-73.7413864135742,98,41.3,,24L,45.4770202636719,-73.7160110473633,117,221.3,
CYUL,11000,200,ASP,06L,45.4610633850098,-73.7650146484375,96,42.7,,24R,45.4832763671875,-73.7359237670898,106,222.7,
CYUY,7485,150,ASP,8,48.2010002136231,-78.8488998413086,974,62,,26,48.2106018066406,-78.8217010498047,988,242,
CYVO,10000,150,ASP,18,48.0666999816895,-77.7864990234375,1102,169.1,,36,48.0397987365723,-77.7788009643555,1102,349.1,
CYVR,7300,200,CON,13,49.1999015808106,-123.200996398926,8,142,,31,49.1842002868652,-123.181999206543,7,322,
CYVR,9940,200,CON,08L,49.2050018310547,-123.200996398926,13,100,,26R,49.2005996704102,-123.160003662109,9,280,
CYVR,11500,200,ASP,08R,49.1901016235352,-123.208000183105,9,100.3,697,26L,49.1843986511231,-123.161003112793,6,280.3,
CYWG,8700,200,ASP,13,49.9127998352051,-97.252197265625,783,137.3,,31,49.8953018188477,-97.2272033691406,773,317.3,
CYWG,11000,200,ASP,18,49.9253005981445,-97.2341995239258,781,189.3,,36,49.8955993652344,-97.24169921875,777,9.3,
CYWL,7000,150,ASP,11,52.1892013549805,-122.064002990723,3082,135,,29,52.1758003234863,-122.042999267578,3074,315,
CYXE,8300,200,ASP,9,52.1785011291504,-106.718002319336,1653,101,,27,52.1741981506348,-106.681999206543,1642,281,
CYXS,11450,150,ASP,15,53.9002990722656,-122.670997619629,2232,170,,33,53.880298614502,-122.664001464844,2199,350,500
CYXT,7497,150,ASP,15,54.4786987304688,-128.589996337891,693,171.9,,33,54.4584007263184,-128.585006713867,677,351.9,
CYXU,8800,200,ASP,15,43.0420989990234,-81.159797668457,912,139,,33,43.0239982604981,-81.1380996704102,905,319,
CYXX,9600,200,PEM,7,49.0189018249512,-122.379997253418,167,86.7,,25,49.0204010009766,-122.339996337891,194,266.7,295
CYXY,9497,150,ASP,14R,60.7216987609863,-135.076995849609,2275,158,850,32L,60.6976013183594,-135.057006835938,2305,338,1400
CYYB,10000,200,ASP,8,46.3574981689453,-79.440803527832,1149,64.7,,26,46.3692016601563,-79.4049987792969,1215,244.7,
CYYC,8000,200,ASP,11,51.1263999938965,-114.037002563477,3547,119.5,,29,51.1156005859375,-114.005996704102,3542,299.5,
CYYC,12675,200,ASP,17R,51.1314010620117,-114.021003723145,3556,180,,35L,51.0965995788574,-114.021003723145,3543,360,
CYYC,14000,200,Concrete,17L,51.1483001708984,-113.98999786377,3606,180,,35R,51.1100006103516,-113.98999786377,3577,0,
CYYG,7000,150,ASP,10,46.2938995361328,-63.1290016174316,158,78.9,,28,46.296501159668,-63.1095008850098,159,258.9,
CYYG,7002,150,ASP,3,46.2797012329102,-63.127498626709,155,9.3,,21,46.2985992431641,-63.1231002807617,160,189.3,
CYYJ,7000,200,ASP,9,48.6510009765625,-123.440002441406,53,105,,27,48.6459999084473,-123.412002563477,56,285,
CYYQ,9200,160,ASP,15,58.7457008361816,-94.0776977539063,94,152.6,,33,58.7233009338379,-94.0553970336914,63,332.6,
CYYR,9580,200,ASP,15,53.3339004516602,-60.4364013671875,154,133,,33,53.3161010742188,-60.4043998718262,149,313,
CYYR,11046,209,ASP,8,53.3039016723633,-60.4481010437012,160,54.8,,26,53.3213996887207,-60.4067001342773,153,234.8,
CYYT,7005,200,ASP,16,47.6258010864258,-52.7513999938965,444,142.2,,34,47.6105995178223,-52.7338981628418,431,322.2,
CYYT,8502,200,ASP,11,47.6232986450195,-52.7733001708984,458,85.9,,29,47.625,-52.738899230957,437,265.9,
CYYZ,9000,200,ASP,06R,43.6582984924316,-79.6219253540039,525,47,,24L,43.6752891540527,-79.5972366333008,547,227,
CYYZ,9088,200,ASP,15R,43.6857986450195,-79.6517028808594,551,137,588,33L,43.6674995422363,-79.628303527832,544,317,588
CYYZ,9697,200,ASP,06L,43.6610488891602,-79.6234283447266,529,47,,24R,43.6789779663086,-79.5973663330078,546,227,197
CYYZ,11050,200,ASP,15L,43.6918983459473,-79.6421966552734,557,137,,33R,43.6699981689453,-79.613899230957,544,317,
CYYZ,11120,200,ASP/CONC,5,43.6739006042481,-79.6639022827148,564,47,135,23,43.6946983337402,-79.63330078125,560,227,485
CYZD,7003,200,ASP,15,43.749698638916,-79.4741973876953,649,139.2,,33,43.7352981567383,-79.456901550293,636,319.2,
CYZF,7500,150,ASP,16,62.473201751709,-114.444000244141,674,176,,34,62.4528007507324,-114.44100189209,658,356,
CYZX,8000,200,ASP,8,44.9810981750488,-64.932502746582,85,64,,26,44.9906997680664,-64.9047012329102,86,244,
CYZX,8000,200,ASP,12,44.9836006164551,-64.931396484375,81,107,,30,44.9771995544434,-64.9017028808594,92,287,
DAAE,7874,148,ASP,8,36.7099990844727,5.05667018890381,20,80,,26,36.7136001586914,5.08305978775024,10,260,
